iter	Passed	Remaining
405	5788	8468
406	5801	8452
407	5814	8437
408	5827	8421
409	5841	8406
410	5856	8392
411	5871	8379
412	5887	8367
413	5901	8353
414	5915	8339
415	5930	8325
416	5945	8312
417	5960	8299
418	5976	8287
419	5990	8272
420	6003	8256
421	6018	8243
422	6032	8229
423	6046	8213
424	6060	8199
425	6074	8184
426	6087	8168
427	6101	8154
428	6115	8139
429	6129	8125
430	6143	8110
431	6158	8097
432	6172	8082
433	6185	8067
434	6199	8052
435	6212	8036
436	6226	8021
437	6239	8005
438	6253	7990
439	6267	7976
440	6280	7961
441	6293	7945
442	6306	7928
443	6319	7913
444	6334	7900
445	6348	7885
446	6364	7873
447	6378	7859
448	6392	7844
449	6405	7829
450	6419	7814
451	6435	7801
452	6449	7788
453	6464	7774
454	6478	7759
455	6492	7745
456	6506	7730
457	6520	7716
458	6536	7704
459	6551	7690
460	6565	7676
461	6581	7664
462	6597	7651
463	6611	7637
464	6627	7625
465	6643	7612
466	6658	7600
467	6673	7586
468	6688	7573
469	6704	7560
470	6717	7545
471	6732	7530
472	6748	7518
473	6761	7503
474	6776	7489
475	6788	7473
476	6801	7456
477	6814	7441
478	6828	7426
479	6841	7412
480	6855	7396
481	6868	7381
482	6883	7367
483	6897	7353
484	6911	7338
485	6924	7323
486	6938	7308
487	6952	7294
488	6966	7280
489	6979	7264
490	6993	7249
491	7006	7234
492	7020	7219
493	7033	7204
494	7047	7189
495	7061	7175
496	7076	7161
497	7091	7148
498	7106	7135
499	7121	7121
500	7136	7108
501	7150	7093
502	7163	7077
503	7177	7063
504	7190	7048
505	7203	7032
506	7217	7018
507	7233	7005
508	7248	6992
509	7262	6977
510	7275	6962
511	7289	6947
512	7303	6933
513	7316	6918
514	7330	6903
515	7346	6890
516	7361	6877
517	7377	6864
518	7392	6851
519	7406	6837
520	7420	6822
521	7434	6808
522	7450	6795
523	7464	6780
524	7479	6767
525	7495	6754
526	7510	6740
527	7525	6727
528	7541	6714
529	7554	6699
530	7568	6685
531	7585	6672
532	7599	6658
533	7613	6643
534	7627	6629
535	7641	6615
536	7655	6600
537	7668	6585
538	7682	6570
539	7696	6556
540	7710	6541
541	7723	6526
542	7737	6512
543	7752	6498
544	7765	6483
545	7779	6468
546	7793	6453
547	7806	6438
548	7820	6424
549	7834	6409
550	7849	6396
551	7862	6381
552	7877	6367
553	7891	6353
554	7906	6339
555	7919	6324
556	7932	6308
557	7946	6294
558	7961	6280
559	7974	6265
560	7990	6253
561	8004	6238
562	8018	6224
563	8031	6208
564	8044	6193
565	8059	6179
566	8073	6165
567	8089	6152
568	8102	6137
569	8117	6123
570	8133	6110
571	8149	6097
572	8164	6084
573	8179	6070
574	8193	6056
575	8208	6042
576	8221	6027
577	8236	6013
578	8249	5998
579	8263	5984
580	8276	5968
581	8290	5954
582	8303	5939
583	8316	5924
584	8330	5909
585	8343	5894
586	8358	5880
587	8371	5865
588	8387	5852
589	8402	5838
590	8416	5824
591	8429	5809
592	8443	5795
593	8458	5781
594	8472	5767
595	8487	5753
596	8502	5739
597	8517	5725
598	8532	5712
599	8548	5699
600	8564	5685
601	8579	5671
602	8594	5658
603	8608	5644
604	8623	5630
605	8638	5616
606	8654	5603
607	8668	5589
608	8684	5576
609	8700	5562
610	8714	5548
611	8729	5534
612	8744	5520
613	8759	5506
614	8774	5492
615	8788	5478
616	8802	5464
617	8816	5449
618	8830	5435
619	8842	5419
620	8856	5405
621	8870	5390
622	8883	5376
623	8897	5361
624	8911	5347
625	8926	5332
626	8941	5319
627	8955	5304
628	8969	5290
629	8983	5276
630	8997	5261
631	9012	5247
632	9026	5233
633	9041	5219
634	9055	5205
635	9070	5191
636	9084	5176
637	9101	5164
638	9115	5149
639	9130	5135
640	9143	5121
641	9158	5107
642	9173	5093
643	9188	5079
644	9203	5065
645	9221	5053
646	9238	5040
647	9252	5025
648	9265	5011
649	9280	4997
650	9294	4982
651	9309	4968
652	9323	4954
653	9338	4940
654	9352	4926
655	9366	4911
656	9380	4897
657	9393	4882
658	9405	4866
659	9418	4851
660	9431	4836
661	9444	4821
662	9456	4806
663	9470	4792
664	9484	4777
665	9497	4763
666	9510	4748
667	9522	4732
668	9536	4718
669	9549	4703
670	9563	4688
671	9576	4674
672	9589	4659
673	9603	4645
674	9617	4630
675	9631	4616
676	9644	4601
677	9658	4586
678	9670	4571
679	9682	4556
680	9696	4542
681	9710	4527
682	9724	4513
683	9738	4498
684	9752	4484
685	9765	4470
686	9779	4455
687	9792	4440
688	9805	4425
689	9819	4411
690	9834	4397
691	9849	4383
692	9863	4369
693	9877	4355
694	9891	4340
695	9904	4326
696	9918	4311
697	9933	4297
698	9947	4283
699	9961	4269
700	9976	4255
701	9992	4241
702	10007	4228
703	10022	4214
704	10037	4200
705	10051	4185
706	10065	4171
707	10080	4157
708	10094	4143
709	10109	4129
710	10125	4115
711	10141	4102
712	10157	4088
713	10173	4074
714	10189	4061
715	10204	4047
716	10219	4033
717	10235	4020
718	10251	4006
719	10268	3993
720	10283	3979
721	10298	3965
722	10312	3950
723	10327	3936
724	10340	3922
725	10354	3907
726	10368	3893
727	10383	3879
728	10399	3865
729	10414	3851
730	10428	3837
731	10442	3823
732	10455	3808
733	10469	3794
734	10482	3779
735	10496	3764
736	10510	3750
737	10524	3736
738	10537	3721
739	10551	3707
740	10565	3692
741	10579	3678
742	10592	3663
743	10605	3649
744	10618	3634
745	10631	3619
746	10644	3605
747	10657	3590
748	10671	3576
749	10684	3561
750	10697	3546
751	10710	3532
752	10723	3517
753	10736	3502
754	10749	3488
755	10762	3473
756	10775	3458
757	10789	3444
758	10802	3430
759	10814	3415
760	10827	3400
761	10840	3385
762	10853	3371
763	10866	3356
764	10879	3342
765	10892	3327
766	10904	3312
767	10918	3298
768	10931	3283
769	10945	3269
770	10957	3254
771	10970	3240
772	10983	3225
773	10996	3210
774	11009	3196
775	11021	3181
776	11034	3167
777	11048	3152
778	11061	3138
779	11074	3123
780	11087	3109
781	11100	3094
782	11114	3080
783	11126	3065
784	11138	3050
